1,'25730U',7215.590578,0.0013959,333.016,99.0437,21.009,44.67047172,1004137256
2,'29733U',7670.62755,0.0583109,216.1402,99.2297,49.661,67.25440034,1004103064
3,'29734U',7701.512816,0.0630747,112.1468,99.1537,188.4052,184.3650228,1004116381
4,'29735U',7766.383519,0.0725966,101.1388,99.3736,236.5842,116.3595269,1004132708
5,'29736U',7823.466063,0.0739684,32.979,99.4517,165.0796,226.5365998,1004074225
6,'29737U',7800.171101,0.0716534,135.4967,99.5629,128.9722,297.814333,1004096677
7,'29738U',7836.422204,0.0872129,15.8585,99.4376,278.0204,72.28618097,1004091656
8,'29740U',8042.131355,0.1006014,209.7435,99.0522,297.7859,52.62459614,1004067987
9,'29741U',8075.169648,0.1032192,230.6394,99.1932,113.6142,8.018702049,1004088928
10,'29746U',7842.645235,0.1050687,227.0621,99.2287,309.9951,41.24679933,1004099928
11,'29748U',8255.936647,0.0728422,243.2828,100.0664,196.9412,160.5559353,1004101782
12,'29750U',7245.028194,0.0036126,345.1927,98.9372,202.4416,220.5919361,1004145384
13,'29751U',7197.032559,0.0091584,345.2377,98.725,169.0846,316.7389167,1004132955
14,'29753U',7083.69578,0.0056385,226.0202,98.8626,209.9527,149.8346729,1004097350
15,'29754U',7231.211102,0.0040266,37.0759,98.8912,180.7502,192.5512102,1004099705
16,'29756U',7115.867749,0.0048417,30.6843,99.2335,145.1436,215.3036342,1004098292
17,'29758U',7208.055847,0.0029085,24.2364,98.8789,342.8873,139.2120315,1004096579
18,'29760U',7248.706987,0.0134335,331.1196,98.8239,78.1943,283.4429679,1004144257
19,'29762U',7205.623797,0.021276,320.9564,98.5162,7.2495,57.85469572,1004144842
20,'29763U',7250.625522,0.0131482,321.4353,98.6911,91.9669,68.09450071,1004103438
21,'29765U',7266.309317,0.0060435,340.9986,98.9859,303.5943,177.2068562,1004134467
22,'29766U',7307.756243,0.0158613,337.078,98.6323,107.1204,323.009805,1004148216
23,'29767U',7312.975204,0.0380942,57.6457,98.2456,312.2727,71.75085485,1004075155
24,'29769U',7258.499201,0.0102307,321.7669,99.2192,349.296,10.58398994,1004099225
25,'29770U',7240.724558,0.0074341,10.9412,98.9429,203.7708,217.1358517,1004089830
26,'29772U',7283.559328,0.0145394,251.7299,98.444,180.2005,332.2281943,1004084274
27,'29773U',7192.261364,0.0049605,59.0078,98.8285,302.6074,69.60596186,1004101377
28,'29774U',7200.02803,0.0052624,187.8829,99.1032,91.3264,332.8907652,1004133387
29,'29775U',6955.655137,0.0054136,177.3252,99.029,333.2156,26.63760073,1004146995
30,'29776U',7249.004268,0.0024421,343.8508,98.9509,160.2357,324.437515,1004133662
31,'29777U',7301.958582,0.0092959,326.4281,99.4731,288.3062,136.5713689,1004137664
32,'29779U',7232.271553,0.0066102,337.4484,98.7963,108.8388,252.0049557,1004147774
33,'29780U',7240.266031,0.0048803,146.5605,99.3543,13.1567,347.0959466,1004095791
34,'29781U',7268.604787,0.0076649,330.5427,98.8418,44.9243,105.8888973,1004103369
35,'29782U',7261.220546,0.0060835,323.3631,99.2057,54.7325,10.866627,1004135498
36,'29783U',6987.643521,0.0077915,112.4863,98.9566,305.9494,65.52124488,1004117068
37,'29784U',7183.963926,0.0063074,162.6316,99.0766,314.6766,160.7170731,1004160992
38,'29785U',7050.355861,0.0068825,43.4895,99.0127,345.8097,14.13066414,1004159202
